State,Code,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score
Alabama,AL,0.95,  5 ,0.00,  17 ,0.00,  7 ,0.01,  4 ,No policy,0,  5.3 ,  16 ,"  33,882 ",  21 ,  118 ,  8 ,0.06,  14 ,0.00,  81 ,17.0,  11 ,0.1,  72 ,1.5,  30 ,17.9,  13 ,97.9,  9 ,122.4,  6 ,0.90,  71 ,1.6,  6 ,0.01,  22 ,"  13,519 ",  4 
Alaska,AK,0.80,  93 ,0.02,  39 ,0.01,  88 ,0.07,  100 ,No policy,0,  2.1 ,  88 ,"  22,752 ",  93 ,  303 ,  85 ,0.10,  70 ,0.00,  100 ,7.6,  75 ,0.2,  53 ,1.0,  70 ,9.4,  70 ,17.1,  82 ,13.1,  96 ,0.88,  63 ,6.8,  37 ,0.02,  46 ,"  6,350 ",  99 
Arizona,AZ,0.88,  50 ,0.02,  45 ,0.01,  79 ,0.02,  22 ,No policy,0,  3.5 ,  50 ,"  32,444 ",  29 ,  210 ,  54 ,0.10,  67 ,0.01,  29 ,10.5,  47 ,0.3,  6 ,2.0,  7 ,11.9,  47 ,35.4,  50 ,96.3,  11 ,0.82,  32 ,15.1,  63 ,0.02,  46 ,"  9,210 ",  66 
Arkansas,AR,0.94,  11 ,0.00,  18 ,0.00,  4 ,0.02,  12 ,No policy,0,  4.8 ,  22 ,"  29,176 ",  53 ,  98 ,  3 ,0.04,  5 ,0.00,  100 ,18.1,  9 ,0.2,  55 ,1.4,  34 ,19.3,  9 ,152.6,  3 ,78.1,  18 ,0.72,  5 ,2.1,  10 ,0.01,  18 ,"  11,214 ",  25 
California,CA,0.85,  75 ,0.05,  80 ,0.01,  89 ,0.03,  43 ,Policy in place,100,  2.1 ,  87 ,"  27,970 ",  62 ,  361 ,  93 ,0.14,  95 ,0.03,  14 ,6.0,  89 ,0.3,  11 ,1.6,  21 ,7.0,  90 ,28.2,  61 ,58.9,  31 ,0.96,  95 ,37.3,  86 ,0.02,  72 ,"  8,516 ",  80 
Colorado,CO,0.84,  78 ,0.03,  62 ,0.02,  97 ,0.03,  65 ,Policy in place,100,  2.6 ,  75 ,"  28,517 ",  58 ,  262 ,  75 ,0.11,  78 ,0.00,  58 ,8.2,  69 ,0.2,  39 ,1.0,  70 ,9.6,  68 ,15.4,  86 ,32.0,  66 ,0.81,  26 ,20.8,  72 ,0.02,  60 ,"  9,106 ",  69 
Connecticut,CT,0.87,  61 ,0.05,  77 ,0.00,  28 ,0.03,  53 ,Policy in place,100,  2.4 ,  81 ,"  30,618 ",  42 ,  307 ,  86 ,0.11,  80 ,0.01,  31 ,6.1,  88 ,0.1,  63 ,1.0,  67 ,7.0,  90 ,53.1,  30 ,34.4,  62 ,0.87,  56 ,19.1,  70 ,0.02,  41 ,"  8,693 ",  77 
Delaware,DE,0.90,  39 ,0.03,  53 ,0.00,  27 ,0.02,  29 ,Policy in place,100,  3.7 ,  43 ,"  37,404 ",  9 ,  167 ,  31 ,0.07,  21 ,0.00,  100 ,9.5,  56 ,0.4,  1 ,2.3,  3 ,10.5,  59 ,137.0,  4 ,101.6,  10 ,0.88,  62 ,40.1,  87 ,0.04,  97 ,"  9,943 ",  50 
Florida,FL,0.90,  40 ,0.02,  48 ,0.01,  64 ,0.02,  10 ,Policy in place,100,  3.6 ,  46 ,"  25,743 ",  79 ,  193 ,  46 ,0.09,  52 ,0.01,  48 ,10.3,  48 ,0.6,  0 ,2.6,  1 ,11.5,  50 ,93.1,  10 ,163.2,  2 ,0.87,  59 ,14.4,  61 ,0.04,  95 ,"  10,053 ",  47 
Georgia,GA,0.90,  33 ,0.02,  45 ,0.00,  14 ,0.02,  13 ,Policy in place,100,  3.0 ,  62 ,"  33,477 ",  23 ,  177 ,  37 ,0.07,  27 ,0.01,  31 ,11.5,  39 ,0.2,  46 ,1.6,  24 ,12.7,  40 ,84.1,  13 ,101.2,  10 ,0.92,  83 ,16.1,  65 ,0.03,  86 ,"  11,055 ",  28 
